an0,an1,an2,an3,an4,an5,an6,an7,an8,an9,an10,an11,an12,an13,an14,an15,an16,an17,an18,an19,an20,an21,an22,an23,an24,an25,an26,an27,an28,an29,an30,an31,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,class
0.0536884,-0.7154514,0.8377244,0.175161,0.3436168,0.1072222,0.1005824,-0.0385052,0.1365198,-0.2786218,0.0011396,-1.1729536,-0.2501048,-0.2710004,0.327109,-0.6567134,0.0263018,0.3222148,-0.4734262,-0.3607696,-0.5374848,0.363825,-0.3772384,0.1400164,0.3489466,-0.6424526,0.2001674,0.1878352,0.262825,-0.57278,-0.386763,0.0226312,0.039291,-0.724286,0.8733,0.119718,0.342306,0.111612,0.069553,-0.012611,0.098048,-0.26046,0.034414,-1.024517,-0.257852,-0.332983,0.336468,-0.638887,-0.012438,0.308906,-0.474907,-0.250417,-0.458336,0.318551,-0.397776,0.169744,0.275103,-0.582177,0.184778,0.208899,0.246089,-0.566759,-0.325306,-0.05816,True
0.2569494,-0.0421794,0.0332894,-0.162131,0.2285078,0.1474232,0.7280624,-0.3673532,0.0272438,-0.2160958,0.2573736,-0.4251786,0.2831472,0.0471466,-0.396784,-0.5378834,-0.1195692,0.0071128,0.1692408,-0.2110896,-0.2217168,-0.070697,-0.1177584,-0.0154156,0.4782896,-0.2833936,0.0380914,0.1220662,0.015756,-0.35714,-0.145069,-0.0958188,0.242552,-0.051014,0.068865,-0.217574,0.227197,0.151813,0.697033,-0.341459,-0.011228,-0.197934,0.290648,-0.276742,0.2754,-0.014836,-0.387425,-0.520057,-0.158309,-0.006196,0.16776,-0.100737,-0.142568,-0.115971,-0.138296,0.014312,0.404446,-0.223118,0.022702,0.14313,-0.00098,-0.351119,-0.083612,-0.17661,True
0.3526154,-0.2760204,-0.5628616,0.139858,-0.0210642,-0.1921668,0.2247444,-0.0218462,-0.3578372,-0.1754188,-0.4445614,0.3210364,0.2257902,0.5502766,0.019735,-0.4112624,0.1029348,-0.1746712,-0.0520742,-0.5242476,0.1312642,0.413679,0.4306336,-0.2744606,0.3780936,-0.6550206,-0.3924506,-0.1141768,-0.290097,-0.209627,0.211038,-0.2883208,0.338218,-0.284855,-0.527286,0.084415,-0.022375,-0.187777,0.193715,0.004048,-0.396309,-0.157257,-0.411287,0.469473,0.218043,0.488294,0.029094,-0.393436,0.064195,-0.18798,-0.053555,-0.413895,0.210413,0.368405,0.410096,-0.244733,0.30425,-0.594745,-0.40784,-0.093113,-0.306833,-0.203606,0.272495,-0.369112,True
0.6268824,-0.2201174,0.2581004,0.748756,0.2465378,0.4726472,0.3183364,0.0513258,-0.2112662,-0.2949468,0.1056536,-0.5904066,0.2310472,0.2561186,-0.464895,0.1006246,0.0134978,0.0309578,-0.1219562,-0.2340676,-0.5204978,0.32127,-0.3622014,0.1486964,-0.2543304,-0.1897536,-0.1497586,-0.0223668,0.221858,-0.204027,-0.275252,0.6319992,0.612485,-0.228952,0.293676,0.693313,0.245227,0.477037,0.287307,0.07722,-0.249738,-0.276785,0.138928,-0.44197,0.2233,0.194136,-0.455536,0.118451,-0.025242,0.017649,-0.123437,-0.123715,-0.441349,0.275996,-0.382739,0.178424,-0.328174,-0.129478,-0.165148,-0.001303,0.205122,-0.198006,-0.213795,0.551208,True
0.4524224,0.2166256,-0.2218356,0.408522,0.1360248,0.2001572,0.4036974,-0.2876852,-0.1483602,-0.1946398,0.0383356,-0.0170756,0.3929322,0.4520916,-0.313392,-0.1050054,-0.2039262,-0.1818292,-0.0808032,-0.3628556,-0.3154548,0.053722,0.0659626,-0.0627826,0.3763076,-0.2191976,-0.3060726,-0.0797578,-0.242161,-0.475469,-0.20196,-0.0481208,0.438025,0.207791,-0.18626,0.353079,0.134714,0.204547,0.372668,-0.261791,-0.186832,-0.176478,0.07161,0.131361,0.385185,0.390109,-0.304033,-0.087179,-0.242666,-0.195138,-0.082284,-0.252503,-0.236306,0.008448,0.045425,-0.033055,0.302464,-0.158922,-0.321462,-0.058694,-0.258897,-0.469448,-0.140503,-0.128912,True
0.4735884,-0.3380124,0.0873824,-0.021502,-0.0545032,-0.4373268,-0.0573786,0.0088248,-0.4515182,-0.2933118,-0.1882004,-0.5236066,0.2611032,-0.1377354,-0.190987,-0.5760704,0.3452988,-0.1082312,-0.0528802,0.2888374,0.0991852,0.040405,-0.0345204,-0.0038906,0.5886286,-0.5060266,0.0458524,-0.3813538,-0.218659,-0.116077,-0.247658,-0.0758748,0.459191,-0.346847,0.122958,-0.076945,-0.055814,-0.432937,-0.088408,0.034719,-0.48999,-0.27515,-0.154926,-0.37517,0.253356,-0.199718,-0.181628,-0.558244,0.306559,-0.12154,-0.054361,0.39919,0.178334,-0.004869,-0.055058,0.025837,0.514785,-0.445751,0.030463,-0.36029,-0.235395,-0.110056,-0.186201,-0.156666,True
0.5596694,-0.0067384,0.3655234,0.699498,0.1825108,0.4070742,0.4596474,0.0337878,-0.1255332,-0.4007258,0.2127866,-0.6455676,0.4321132,0.2115896,-0.27499,-0.0979504,-0.0520592,0.0565298,0.2090368,-0.1122736,-0.5292098,0.180319,-0.3588314,-0.0515346,-0.1873584,-0.3142346,-0.1698226,-0.0465998,0.202795,-0.183016,-0.444997,0.6629912,0.545272,-0.015573,0.401099,0.644055,0.1812,0.411464,0.428618,0.059682,-0.164005,-0.382564,0.246061,-0.497131,0.424366,0.149607,-0.265631,-0.080124,-0.090799,0.043221,0.207556,-0.001921,-0.450061,0.135045,-0.379369,-0.021807,-0.261202,-0.253959,-0.185212,-0.025536,0.186059,-0.176995,-0.38354,0.5822,True
0.6236046,-0.1832408,0.2732792,0.689881,0.244704,0.5358232,0.3245434,0.1450642,-0.2804026,-0.348481,0.135575,-0.574298,0.245035,0.298074,-0.4449668,0.0502806,0.0133612,0.0383906,-0.0612702,-0.2548188,-0.4282776,0.244959,-0.3398034,0.1491078,-0.2639068,-0.1449446,-0.1431172,-0.00456,0.220582,-0.1537104,-0.2500458,0.6269374,0.612485,-0.228952,0.293676,0.693313,0.245227,0.477037,0.287307,0.07722,-0.249738,-0.276785,0.138928,-0.44197,0.2233,0.194136,-0.455536,0.118451,-0.025242,0.017649,-0.123437,-0.123715,-0.441349,0.275996,-0.382739,0.178424,-0.328174,-0.129478,-0.165148,-0.001303,0.205122,-0.198006,-0.213795,0.551208,True
0.5563916,0.0301382,0.3807022,0.640623,0.180677,0.4702502,0.4658544,0.1275262,-0.1946696,-0.45426,0.242708,-0.629459,0.446101,0.253545,-0.2550618,-0.1482944,-0.0521958,0.0639626,0.2697228,-0.1330248,-0.4369896,0.104008,-0.3364334,-0.0511232,-0.1969348,-0.2694256,-0.1631812,-0.028793,0.201519,-0.1326994,-0.4197908,0.6579294,0.545272,-0.015573,0.401099,0.644055,0.1812,0.411464,0.428618,0.059682,-0.164005,-0.382564,0.246061,-0.497131,0.424366,0.149607,-0.265631,-0.080124,-0.090799,0.043221,0.207556,-0.001921,-0.450061,0.135045,-0.379369,-0.021807,-0.261202,-0.253959,-0.185212,-0.025536,0.186059,-0.176995,-0.38354,0.5822,True
0.2288282,-0.9557362,0.5274754,-0.1422404,0.145089,-0.1999766,-0.0888744,0.02602,-0.0102018,0.0701564,0.1544228,-0.78235,0.0850002,0.0149224,0.3016338,-0.4718216,-0.1759996,-0.0485366,-0.6104678,0.084841,0.4011498,0.2039244,-0.2029762,0.2239574,0.956573,-0.5763938,0.5921618,-0.01299,0.1240418,-0.5147984,-0.0915094,-0.1799202,0.166847,-0.977878,0.561741,-0.20718,0.091926,-0.228861,-0.161614,-0.026676,-0.026673,0.138678,0.172947,-0.659183,0.05908,-0.011664,0.293765,-0.473566,-0.204293,-0.115744,-0.615074,0.142251,0.428677,0.170229,-0.199559,0.207312,0.884052,-0.535335,0.525656,0.000796,0.068412,-0.532066,-0.034885,-0.206175,True
0.2562202,-0.7034452,0.4871544,-0.1098434,0.368754,0.2389544,0.1058346,0.05033,-0.0653608,-0.2570336,0.1647128,-0.832358,-0.1227668,-0.2479906,-0.0268622,-0.6389126,-0.1644866,-0.1461346,-0.4705618,0.090384,-0.2563682,0.2352944,-0.5567732,0.4022744,0.58124,-0.5116958,0.2853968,-0.058918,0.2514438,-0.6073664,0.0714156,-0.1290672,0.194239,-0.725587,0.52142,-0.174783,0.315591,0.21007,0.033095,-0.002366,-0.081832,-0.188512,0.183237,-0.709191,-0.148687,-0.274577,-0.034731,-0.640657,-0.19278,-0.213342,-0.475168,0.147794,-0.228841,0.201599,-0.553356,0.385629,0.508719,-0.470637,0.218891,-0.045132,0.195814,-0.624634,0.12804,-0.155322,True
0.5462342,-0.0889762,0.0212924,0.4822826,0.200383,0.5912394,0.2312236,-0.019298,-0.2028728,-0.0462826,0.0385678,-0.269987,0.3660522,0.4138284,-0.1839422,-0.3322906,-0.4800436,0.1411534,-0.1258878,-0.290703,-0.3296402,0.0639434,-0.2430672,0.6017714,0.207429,-0.5902748,0.1803028,0.463901,0.0209978,-0.4109834,0.1450876,-0.0596322,0.484253,-0.111118,0.055558,0.417343,0.14722,0.562355,0.158484,-0.071994,-0.219344,0.022239,0.057092,-0.14682,0.340132,0.387242,-0.191811,-0.334035,-0.508337,0.073946,-0.130494,-0.233293,-0.302113,0.030248,-0.23965,0.585126,0.134908,-0.549216,0.113797,0.477687,-0.034632,-0.428251,0.201712,-0.085887,True
0.3062132,0.0455318,0.1072114,-0.3069374,0.026009,-0.3110436,0.2350756,-0.133196,-0.3954858,-0.3599916,-0.0632072,-0.087617,0.3295142,0.0982964,-0.3667332,-0.4961666,0.1872484,0.1783244,0.4205662,-0.132936,0.1261068,0.3042694,0.0241288,-0.5040686,0.18027,-0.3288828,-0.0571922,-0.431664,-0.0538432,0.2185336,0.1128256,-0.5579752,0.244232,0.02339,0.141477,-0.371877,-0.027154,-0.339928,0.162336,-0.185892,-0.411957,-0.29147,-0.044683,0.03555,0.303594,0.07171,-0.374602,-0.497911,0.158955,0.111117,0.41596,-0.075526,0.153634,0.270574,0.027546,-0.520714,0.107749,-0.287824,-0.123698,-0.417878,-0.109473,0.201266,0.16945,-0.58423,True
