an0,an1,an2,an3,an4,an5,an6,an7,an8,an9,an10,an11,an12,an13,an14,an15,an16,an17,an18,an19,an20,an21,an22,an23,an24,an25,an26,an27,an28,an29,an30,an31,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,class
0.111278,-0.680113,0.695422,0.396933,0.34886,0.089663,0.2247,-0.142082,0.290407,-0.351269,-0.131958,-1.7667,-0.219116,-0.02307,0.289673,-0.728019,0.181261,0.37545,-0.467503,-0.80218,-0.85408,0.544921,-0.295088,0.021106,0.644321,-0.883555,0.261725,0.10358,0.329769,-0.596864,-0.632591,0.345796,0.039291,-0.724286,0.8733,0.119718,0.342306,0.111612,0.069553,-0.012611,0.098048,-0.26046,0.034414,-1.024517,-0.257852,-0.332983,0.336468,-0.638887,-0.012438,0.308906,-0.474907,-0.250417,-0.458336,0.318551,-0.397776,0.169744,0.275103,-0.582177,0.184778,0.208899,0.246089,-0.566759,-0.325306,-0.05816,True
0.314539,-0.006841,-0.109013,0.059641,0.233751,0.129864,0.85218,-0.47093,0.181131,-0.288743,0.124276,-1.018925,0.314136,0.295077,-0.43422,-0.609189,0.03539,0.060348,0.175164,-0.6525,-0.538312,0.110399,-0.035608,-0.134326,0.773664,-0.524496,0.099649,0.037811,0.0827,-0.381224,-0.390897,0.227346,0.242552,-0.051014,0.068865,-0.217574,0.227197,0.151813,0.697033,-0.341459,-0.011228,-0.197934,0.290648,-0.276742,0.2754,-0.014836,-0.387425,-0.520057,-0.158309,-0.006196,0.16776,-0.100737,-0.142568,-0.115971,-0.138296,0.014312,0.404446,-0.223118,0.022702,0.14313,-0.00098,-0.351119,-0.083612,-0.17661,True
0.410205,-0.240682,-0.705164,0.36163,-0.015821,-0.209726,0.348862,-0.125423,-0.20395,-0.248066,-0.577659,-0.27271,0.256779,0.798207,-0.017701,-0.482568,0.257894,-0.121436,-0.046151,-0.965658,-0.185331,0.594775,0.512784,-0.393371,0.673468,-0.896123,-0.330893,-0.198432,-0.223153,-0.233711,-0.03479,0.034844,0.338218,-0.284855,-0.527286,0.084415,-0.022375,-0.187777,0.193715,0.004048,-0.396309,-0.157257,-0.411287,0.469473,0.218043,0.488294,0.029094,-0.393436,0.064195,-0.18798,-0.053555,-0.413895,0.210413,0.368405,0.410096,-0.244733,0.30425,-0.594745,-0.40784,-0.093113,-0.306833,-0.203606,0.272495,-0.369112,True
0.684472,-0.184779,0.115798,0.970528,0.251781,0.455088,0.442454,-0.052251,-0.057379,-0.367594,-0.027444,-1.184153,0.262036,0.504049,-0.502331,0.029319,0.168457,0.084193,-0.116033,-0.675478,-0.837093,0.502366,-0.280051,0.029786,0.041044,-0.430856,-0.088201,-0.106622,0.288802,-0.228111,-0.52108,0.955164,0.612485,-0.228952,0.293676,0.693313,0.245227,0.477037,0.287307,0.07722,-0.249738,-0.276785,0.138928,-0.44197,0.2233,0.194136,-0.455536,0.118451,-0.025242,0.017649,-0.123437,-0.123715,-0.441349,0.275996,-0.382739,0.178424,-0.328174,-0.129478,-0.165148,-0.001303,0.205122,-0.198006,-0.213795,0.551208,True
0.510012,0.251964,-0.364138,0.630294,0.141268,0.182598,0.527815,-0.391262,0.005527,-0.267287,-0.094762,-0.610822,0.423921,0.700022,-0.350828,-0.176311,-0.048967,-0.128594,-0.07488,-0.804266,-0.63205,0.234818,0.148113,-0.181693,0.671682,-0.4603,-0.244515,-0.164013,-0.175217,-0.499553,-0.447788,0.275044,0.438025,0.207791,-0.18626,0.353079,0.134714,0.204547,0.372668,-0.261791,-0.186832,-0.176478,0.07161,0.131361,0.385185,0.390109,-0.304033,-0.087179,-0.242666,-0.195138,-0.082284,-0.252503,-0.236306,0.008448,0.045425,-0.033055,0.302464,-0.158922,-0.321462,-0.058694,-0.258897,-0.469448,-0.140503,-0.128912,True
0.531178,-0.302674,-0.05492,0.20027,-0.04926,-0.454886,0.066739,-0.094752,-0.297631,-0.365959,-0.321298,-1.117353,0.292092,0.110195,-0.228423,-0.647376,0.500258,-0.054996,-0.046957,-0.152573,-0.21741,0.221501,0.04763,-0.122801,0.884003,-0.747129,0.10741,-0.465609,-0.151715,-0.140161,-0.493486,0.24729,0.459191,-0.346847,0.122958,-0.076945,-0.055814,-0.432937,-0.088408,0.034719,-0.48999,-0.27515,-0.154926,-0.37517,0.253356,-0.199718,-0.181628,-0.558244,0.306559,-0.12154,-0.054361,0.39919,0.178334,-0.004869,-0.055058,0.025837,0.514785,-0.445751,0.030463,-0.36029,-0.235395,-0.110056,-0.186201,-0.156666,True
0.617259,0.0286,0.223221,0.92127,0.187754,0.389515,0.583765,-0.069789,0.028354,-0.473373,0.079689,-1.239314,0.463102,0.45952,-0.312426,-0.169256,0.1029,0.109765,0.21496,-0.553684,-0.845805,0.361415,-0.276681,-0.170445,0.108016,-0.555337,-0.108265,-0.130855,0.269739,-0.2071,-0.690825,0.986156,0.545272,-0.015573,0.401099,0.644055,0.1812,0.411464,0.428618,0.059682,-0.164005,-0.382564,0.246061,-0.497131,0.424366,0.149607,-0.265631,-0.080124,-0.090799,0.043221,0.207556,-0.001921,-0.450061,0.135045,-0.379369,-0.021807,-0.261202,-0.253959,-0.185212,-0.025536,0.186059,-0.176995,-0.38354,0.5822,True
0.668083,-0.000396,0.191692,0.676153,0.242612,0.770968,0.473489,0.416441,-0.403061,-0.635265,0.122163,-1.10361,0.331975,0.713826,-0.40269,-0.222401,0.167774,0.121357,0.187397,-0.779234,-0.375992,0.120811,-0.168061,0.031843,-0.006838,-0.206811,-0.054994,-0.017588,0.282422,0.023472,-0.395049,0.929855,0.612485,-0.228952,0.293676,0.693313,0.245227,0.477037,0.287307,0.07722,-0.249738,-0.276785,0.138928,-0.44197,0.2233,0.194136,-0.455536,0.118451,-0.025242,0.017649,-0.123437,-0.123715,-0.441349,0.275996,-0.382739,0.178424,-0.328174,-0.129478,-0.165148,-0.001303,0.205122,-0.198006,-0.213795,0.551208,True
0.60087,0.212983,0.299115,0.626895,0.178585,0.705395,0.6148,0.398903,-0.317328,-0.741044,0.229296,-1.158771,0.533041,0.669297,-0.212785,-0.420976,0.102217,0.146929,0.51839,-0.65744,-0.384704,-0.02014,-0.164691,-0.168388,0.060134,-0.331292,-0.075058,-0.041821,0.263359,0.044483,-0.564794,0.960847,0.545272,-0.015573,0.401099,0.644055,0.1812,0.411464,0.428618,0.059682,-0.164005,-0.382564,0.246061,-0.497131,0.424366,0.149607,-0.265631,-0.080124,-0.090799,0.043221,0.207556,-0.001921,-0.450061,0.135045,-0.379369,-0.021807,-0.261202,-0.253959,-0.185212,-0.025536,0.186059,-0.176995,-0.38354,0.5822,True
0.476753,-0.867169,0.390413,0.117518,0.357741,-0.084439,0.202084,0.236804,0.055683,-0.20393,0.080326,-1.275018,0.188681,0.121268,0.333109,-0.464844,-0.062826,0.220293,-0.592043,-0.144799,0.291041,0.338706,-0.216645,0.290539,1.246657,-0.740629,0.858185,-0.068134,0.346561,-0.445728,-0.318007,-0.074901,0.166847,-0.977878,0.561741,-0.20718,0.091926,-0.228861,-0.161614,-0.026676,-0.026673,0.138678,0.172947,-0.659183,0.05908,-0.011664,0.293765,-0.473566,-0.204293,-0.115744,-0.615074,0.142251,0.428677,0.170229,-0.199559,0.207312,0.884052,-0.535335,0.525656,0.000796,0.068412,-0.532066,-0.034885,-0.206175,True
